iteration,image_index,loss,l1,mse,psnr,gaussians
1,27,0.13082273304462433,0.15433445572853088,0.036775849759578705,14.344372834778689,13462
500,19,0.045027073472738266,0.054775554686784744,0.006033150479197502,22.194558423497487,14000
1000,5,0.04080639034509659,0.04965595155954361,0.00540812686085701,22.66953129506515,14560
1500,41,0.01934647373855114,0.023654650896787643,0.0021137625444680452,26.749438019952265,15142
2000,17,0.029260654002428055,0.035629503428936005,0.003785259323194623,24.219043621944103,15747
2500,2,0.036533989012241364,0.04451296105980873,0.004618101287633181,23.355365460447032,16376
3000,46,0.026318563148379326,0.032041311264038086,0.003427566261962056,24.65014140644557,17031
3500,23,0.026154350489377975,0.03195511922240257,0.002951272763311863,25.29990650165616,17712
4000,14,0.0232758279889822,0.02850482612848282,0.0023598286788910627,26.27119525213368,18420
4500,4,0.027902312576770782,0.034061551094055176,0.003265358041971922,24.860691919915283,19156
5000,47,0.036243535578250885,0.044128503650426865,0.004703670274466276,23.27563129746285,19922
5500,48,0.02775808610022068,0.03385283425450325,0.0033790937159210443,24.71199763317445,20718
6000,26,0.019060783088207245,0.023439349606633186,0.001546514336951077,28.106460495179775,20718
6500,47,0.024372272193431854,0.02975373901426792,0.0028464007191359997,25.457039595367252,20718
7000,12,0.021430818364024162,0.026300529018044472,0.0019519784254953265,27.095249867411045,20718
7500,40,0.01872168853878975,0.02292931266129017,0.0018911900697275996,27.23264821188977,20718
8000,2,0.03181423246860504,0.038832444697618484,0.003741377964615822,24.26968415924922,20718
8500,27,0.014113604091107845,0.01737588830292225,0.0010644637513905764,29.72869123177364,20718
9000,6,0.022147856652736664,0.027102306485176086,0.0023300587199628353,26.326331341523076,20718
9500,24,0.021711315959692,0.026595301926136017,0.002175375819206238,26.62465703257396,20718
10000,25,0.024850672110915184,0.03048410639166832,0.002316939178854227,26.350853665702687,20718
10500,3,0.029549185186624527,0.03608837351202965,0.0033924239687621593,24.694898769967637,20718
11000,19,0.027660587802529335,0.033607788383960724,0.0038717917632311583,24.12088008417249,20718
11500,26,0.02265899069607258,0.027792057022452354,0.0021267172414809465,26.722902480510395,20718
12000,45,0.026391606777906418,0.03212194889783859,0.0034702362027019262,24.59640963814643,20718
12500,47,0.030270099639892578,0.036824919283390045,0.004050815012305975,23.924575891958547,20718
13000,14,0.021113239228725433,0.025854960083961487,0.002146350685507059,26.68299318559281,20718
13500,46,0.030311526730656624,0.036832910031080246,0.004225985147058964,23.740720336825856,20718
14000,28,0.015431004576385021,0.018966207280755043,0.001290195039473474,28.89344632209012,20718
