iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,54,0.3599163293838501,0.35488808155059814,0.19555433094501495,0.2900559902191162,0.13200539350509644,7.087325612782374,87863
500,76,0.2518981993198395,0.24267247319221497,0.09854193776845932,0.2928844392299652,0.2619001865386963,10.063789018350631,87863
1000,59,0.16400761902332306,0.1584017425775528,0.05042307823896408,0.4866519272327423,0.14553788304328918,12.97370644946984,87863
1500,28,0.16753017902374268,0.15379495918750763,0.04392306134104729,0.33388590812683105,0.23234272003173828,13.573073981301286,87863
2000,62,0.16629856824874878,0.15984418988227844,0.051966048777103424,0.470907598733902,0.14935645461082458,12.842803033721886,87863
2500,5,0.19666236639022827,0.18685610592365265,0.05556478351354599,0.3250548541545868,0.22346055507659912,12.552003733715768,87863
3000,48,0.18650004267692566,0.17797741293907166,0.059180472046136856,0.38988029956817627,0.1692829579114914,12.278215750622593,87863
3500,70,0.1593506932258606,0.1461784392595291,0.03985244035720825,0.3589182496070862,0.22996851801872253,13.99545079507031,87863
4000,38,0.16027717292308807,0.14315085113048553,0.03751078248023987,0.2957232892513275,0.2956516742706299,14.258438763103296,87863
4500,51,0.15733619034290314,0.15225322544574738,0.04369993880391121,0.49374985694885254,0.13968564569950104,13.595191712021704,87863
5000,42,0.1512274444103241,0.1434544324874878,0.04344242066144943,0.4807300865650177,0.17275094985961914,13.62085983358891,87863
5500,47,0.18151304125785828,0.16573849320411682,0.05462843179702759,0.29058560729026794,0.24411043524742126,12.625812664755852,87863
6000,68,0.18543191254138947,0.17276406288146973,0.055460311472415924,0.32288962602615356,0.21881000697612762,12.56017695696281,87863
