index,psnr,ssim
0.0,17.536842887088653,0.5830746293067932
1.0,20.279003309206153,0.7510283589363098
2.0,24.074919359094924,0.7726122736930847
3.0,23.448225558414126,0.7562427520751953
4.0,23.91089026052683,0.7540610432624817
5.0,23.967629136092164,0.7766823768615723
6.0,24.464462630045368,0.7734687924385071
7.0,23.509172394318703,0.7640595436096191
8.0,21.320347715378244,0.6455854773521423
9.0,21.971575894806847,0.6873096823692322
10.0,22.055644830841846,0.7007737159729004
11.0,22.845010943699574,0.7437207102775574
12.0,23.57942221328287,0.7700037360191345
13.0,23.31864596027671,0.7576236724853516
14.0,20.226442047397185,0.5762974619865417
15.0,20.213858317835122,0.6019293665885925
16.0,20.794652529553616,0.6011011600494385
17.0,20.83821964266952,0.5886361598968506
18.0,21.14766496342687,0.6101033091545105
19.0,20.942327440250963,0.6048733592033386
20.0,22.270638338023517,0.7597574591636658
21.0,22.20172229307557,0.7594148516654968
22.0,22.898794856545774,0.7311522364616394
23.0,23.327779147150455,0.7829239368438721
24.0,23.974949471795426,0.809493362903595
25.0,23.942916314930045,0.8209709525108337
26.0,24.175509242845393,0.8130762577056885
27.0,23.71105707588461,0.8106234669685364
28.0,24.03778218976933,0.7463653683662415
29.0,22.426518618479093,0.702246367931366
30.0,23.19173435599708,0.7247302532196045
31.0,24.558355450489067,0.7990241646766663
32.0,23.10888044868053,0.767852783203125
33.0,23.663260989928553,0.7955448031425476
34.0,24.434636521878375,0.8130303025245667
35.0,22.636111745838452,0.7614797949790955
36.0,23.272786822556778,0.7073938846588135
37.0,23.555833719563918,0.6913590431213379
38.0,23.427393225652537,0.6602118015289307
39.0,22.58252307849936,0.6472451090812683
40.0,23.109420431573295,0.6908784508705139
41.0,24.937374333488933,0.8202511668205261
42.0,24.19498154434031,0.8274809718132019
43.0,24.565671327615597,0.7662338614463806
44.0,24.385110708655397,0.7603724598884583
45.0,23.762873265725325,0.6924598813056946
46.0,22.02375566595007,0.6336705684661865
47.0,21.468049811388212,0.6520857810974121
48.0,22.889428149737093,0.7554235458374023
49.0,25.054471797187748,0.8262963891029358
50.0,25.348059704530378,0.8363158702850342
51.0,24.87489566049206,0.8326932787895203
52.0,25.02429096423058,0.8563680648803711
53.0,23.69447684842371,0.8254197239875793
54.0,23.007074404096734,0.7952354550361633
55.0,22.424934801011926,0.7755388617515564
56.0,21.823222485901304,0.7502396106719971
57.0,21.38924491859925,0.7442261576652527
58.0,20.262315431722186,0.7281118035316467
59.0,20.12485917085393,0.7018606662750244
60.0,19.86969372084012,0.6897966265678406
61.0,19.412918398138004,0.6951219439506531
62.0,19.31336207178623,0.6937370300292969
63.0,19.458733387690522,0.7056813836097717
64.0,19.125329494609563,0.7041932940483093
65.0,19.483172655442555,0.7081025242805481
66.0,20.1404379234721,0.7268683910369873
67.0,20.287768508235825,0.7071704268455505
68.0,20.773533681294385,0.7067659497261047
69.0,22.500060060008074,0.7160565853118896
70.0,23.034406811562324,0.7280232310295105
71.0,22.717177624665826,0.688093900680542
72.0,20.942128965915145,0.6672748923301697
73.0,22.99638237955932,0.7387502789497375
74.0,22.656369329437783,0.7280324101448059
75.0,23.537312648358807,0.8109288811683655
76.0,22.541708353301033,0.7800548672676086
77.0,21.342978504084932,0.7834156155586243
78.0,20.693274873646317,0.7672634124755859
79.0,20.15066589333584,0.7473722100257874
